ID_Empresa;RazaoSocial;Total;
13;Georesearch  do Brasil Ltda;710;
295;Georesearch  do Brasil Ltda - Collinstide;1;
58;Gerdau Aços Longos S/A;0;
519;Gerdau Aços Longos S/A - (4ª Via Entregue);0;
365;Halliburton Serv. Ltda;9;
339;Halliburton Serv. Ltda - Base Baroid;318;
639;Halliburton Serv. Ltda - Base Oeste;30;
340;Halliburton Serv. Ltda - Base Principal;986;
461;Halliburton Serv. Ltda - Base PWS;1;
336;Halliburton Serv. Ltda - Carregamento de Canhoes;128;
341;Halliburton Serv. Ltda - Galpao de Quimica;99;
342;Halliburton Serv. Ltda - Paiois Explosivos;13;
423;Halliburton Serv. Ltda - Paiois Explosivos;22;
468;Haztec Tecnologia e Planejamento Ambiental S.A;0;
101;Hidropartes Comercial Ltda;46;
318;Hotelaria Accor Brasil  S/A;3;
563;Indios Ind. e Com. Prod. Quim. Expl. Pirot. LTDA;0;
131;Inspetoria da Receita Federal - Unidade Macae;1;
481;IRM Serviços LTDA;349;
350;J F GARCIA DROGARIA - ME;0;
14;J.C. Fragoso Reparos - ME;1;
424;JOCEAN TRANSPORTES E SANEAMENTO LTDA;0;
226;Krest Internacional Ltda;1;
637;Limpatech Serv.E Construções LTDA;0;
50;Lwart Lubrificantes Ltda;0;
73;M.V. Das Merces Transportes Ltda;1;
613;Macaé Proj. e Serv. Ambi. Ltda (4° via entregue);0;
557;Macaé Projetos e Serviços Ambientais Ltda;0;
521;Macaé Realty Empreendimentos Imobiliários Ltda;3;
15;Maersk Brasil ( Brasmar ) Ltda;3;
476;Marine Production Systens do Brasil;274;
16;Mendes Jr. Trad. e Engenharia S/A;854;
239;Mendes Jr. Trad. e Engenharia S/A - BASE;601;
238;Mendes Jr. Trad. e Engenharia S/A - P09;41;
346;Mendes Jr. Trad. e Engenharia S/A - P32;0;
233;Mendes Jr. Trad. e Engenharia S/A - PCH 1;3;
236;Mendes Jr. Trad. e Engenharia S/A - PCH2;35;
361;Mendes Jr. Trad. e Engenharia S/A - PCH3;1;
232;Mendes Jr. Trad. e Engenharia S/A - PNA 1;17;
237;Mendes Jr. Trad. e Engenharia S/A - PNA2;35;
76;Metroval Controle de Fluidos Ltda;847;
17;M-I Swaco  Brasil-Com., Serv.e  Min. Ltda;1955;
493;M-I Swaco Brasil-Com.Serv.e Min.Ltda - São Gonçalo;15;
501;M-I SWACO DO BRASIL - COM, SERV E MINERAÇÃO LTDA;0;
550;Missoes Rio Oleo Coleta e Comercio de Oleos LTDA.;0;
316;Modec Serv. de Petroleo do Brasil Ltda.;131;
352;Modec Serv. de Petroleo do Brasil Ltda.- FSO Macae;277;
319;Modec Serv. de Petroleo do Brasil Ltda-FPSO-RJ;614;
437;Modec Serv.de Petroleo do Brasil Ltda FPSO Niteroi;93;
