ID_Empresa;RazaoSocial
351;Fugro Oceansatpeg S/A - Base
565;GALAXIA MARITIMA LTDA
523;GE OIL AND GAS DO BRASIL LTDA
512;GEORADAR LEVANTAMENTOS GEOFÍSICOS SA
13;Georesearch  do Brasil Ltda
295;Georesearch  do Brasil Ltda - Collinstide
58;Gerdau Aços Longos S/A
519;Gerdau Aços Longos S/A - (4ª Via Entregue)
365;Halliburton Serv. Ltda
336;Halliburton Serv. Ltda - Carregamento de Canhoes
423;Halliburton Serv. Ltda - Paiois Explosivos
339;Halliburton Serviços Ltda - Base Baroid
340;Halliburton Servicos Ltda - Base Principal
461;Halliburton Servicos Ltda - Base PWS
341;Halliburton Servicos Ltda - Galpao de Quimica
342;Halliburton Servicos Ltda - Paiois Explosivos
468;Haztec Tecnologia e Planejamento Ambiental S.A
101;Hidropartes Comercial Ltda
318;Hotelaria Accor Brasil  S/A
563;Indios Ind. e Com. Prod. Quim. Expl. Pirot. LTDA
131;Inspetoria da Receita Federal - Unidade Macae
481;IRM Serviços LTDA
350;J F GARCIA DROGARIA - ME
14;J.C. Fragoso Reparos - ME
424;JOCEAN TRANSPORTES E SANEAMENTO LTDA
226;Krest Internacional Ltda
50;Lwart Lubrificantes Ltda
17;M-I Swaco  Brasil-Com., Serv.e  Min. Ltda
493;M-I Swaco Brasil-Com.Serv.e Min.Ltda - São Gonçalo
501;M-I SWACO DO BRASIL - COM, SERV E MINERAÇÃO LTDA
73;M.V. Das Merces Transportes Ltda
557;Macaé Projetos e Serviços Ambientais Ltda
521;Macaé Realty Empreendimentos Imobiliários Ltda
15;Maersk Brasil ( Brasmar ) Ltda
476;Marine Production Systens do Brasil
16;Mendes Jr. Trad. e Engenharia S/A
239;Mendes Jr. Trad. e Engenharia S/A - BASE
238;Mendes Jr. Trad. e Engenharia S/A - P09
346;Mendes Jr. Trad. e Engenharia S/A - P32
233;Mendes Jr. Trad. e Engenharia S/A - PCH 1
236;Mendes Jr. Trad. e Engenharia S/A - PCH2
361;Mendes Jr. Trad. e Engenharia S/A - PCH3
232;Mendes Jr. Trad. e Engenharia S/A - PNA 1
237;Mendes Jr. Trad. e Engenharia S/A - PNA2
76;Metroval Controle de Fluidos Ltda
550;Missoes Rio Oleo Coleta e Comercio de Oleos LTDA.
319;Modec Serv. de Petroleo do Brasil Ltda-FPSO-RJ
316;Modec Serv. de Petroleo do Brasil Ltda.
352;Modec Serv. de Petroleo do Brasil Ltda.- FSO Macae
437;Modec Serv.de Petroleo do Brasil Ltda FPSO Niteroi
111;MPE Montagens e Projetos Especiais S/A
390;MTR - MADALENA TRAT. DE RES. URBANOS LTDA
566;NAVIS DRILLIN LTDA
567;NAVIS DRILLING LTDA SS65
472;Nero 20 Industria  Comercio de Prod. Quimicos LTDA
272;Noble do Brasil S/C Ltda
569;Noble do Brasil S/C Ltda  PHOENIX
18;Noble do Brasil S/C Ltda - Base
513;Noble do Brasil S/C Ltda - Base Linha Azul
449;Noble do Brasil S/C Ltda - Dave Beard
141;Noble do Brasil S/C Ltda - NS 15
142;Noble do Brasil S/C Ltda - NS 17
143;Noble do Brasil S/C Ltda - NS 18
591;Noble do Brasil S/C Ltda - Oil State
144;Noble do Brasil S/C Ltda - SS 53
317;Noble do Brasil S/C Ltda - SS 55
281;Noble do Brasil S/C Ltda - SS 62
380;Noble do Brasil S/C Ltda - SS 62
438;Noble do Brasil S/C Ltda - SS 63
483;Noble do Brasil S/C Ltda - SS 71
413;Nort-Tec Comercio e Industria Ltda Me
109;Nutec MacaeTrein. em Seg. Maritima Ltda
542;Nutec MacaeTrein. em Seg. MaritLtda Base Mar Norte
484;ODEBRECHT ÓLEO E GÁS LTDA
539;Odebrecht Oleo e Gas S.A. - Norbe IX
540;Odebrecht Oleo e Gas S.A. - Norbe VI
541;Odebrecht Oleo e Gas S.A. - Norbe VIII
494;Odebrecht Oleo e Gas SA
45;Pan Marine do Brasil Ltda
426;Pan Marine do Brasil Ltda  Majestic Tide
425;Pan Marine do Brasil Ltda  Oil Dirt
299;Pan Marine do Brasil Ltda -  Navio
366;Pan Marine do Brasil Ltda - Adam Tide
303;Pan Marine do Brasil Ltda - CARLINE TIDE
312;Pan Marine do Brasil Ltda - Chesapeake Sh
311;Pan Marine do Brasil Ltda - Collins Tide
345;Pan Marine do Brasil Ltda - Cruz Tide
309;Pan Marine do Brasil Ltda - Cumbria Service
347;Pan Marine do Brasil Ltda - Danko Tide
349;Pan Marine do Brasil Ltda - Danko Tide
334;Pan Marine do Brasil Ltda - Freyoux Tide
304;Pan Marine do Brasil Ltda - GALLUSTURM
313;Pan Marine do Brasil Ltda - Guard Tide
360;Pan Marine do Brasil Ltda - Herdentor
367;Pan Marine do Brasil Ltda - Hinghlands Tide
310;Pan Marine do Brasil Ltda - Huntetor
305;Pan Marine do Brasil Ltda - John P Laborde
306;Pan Marine do Brasil Ltda - Marion Tide
330;Pan Marine do Brasil Ltda - Mercutiob DÃ?Â?Ã?Â¡Ã?Â
323;Pan Marine do Brasil Ltda - Milan Tide
307;Pan Marine do Brasil Ltda - Oil Onyx
325;Pan Marine do Brasil Ltda - Oil Provider
344;Pan Marine do Brasil Ltda - Oil Tracer
308;Pan Marine do Brasil Ltda - Oil Trader
333;Pan Marine do Brasil Ltda - Oil Vibrant
324;Pan Marine do Brasil Ltda - Pardee Tide
331;Pan Marine do Brasil Ltda - Richard M. Currence
421;Pan Marine do Brasil Ltda - Richard M.Currence
420;Pan Marine do Brasil Ltda - Selabord
401;Pan Marine do Brasil Ltda - Werdertor
404;Pan Marine do Brasil Ltda - Willian CoÃ?Â´Ã?Â­Mall
321;Pan Marine do Brasil Ltda-Leroy Tide
322;Pan Marine do Brasil Ltda-Mire Tide
123;Parque de Material BÃ?Â©lico
246;Parque de Material BÃ?Â©lico
536;PCP Eng. e Montagens Ind. LTDA.
