ID_Empresa;RazaoSocial;CNPJ
116;"Ferpan Comercio de Metais Ltda_2";NULL
61;"Frama Transporte e Comercio Ltda";NULL
11;"Frank's International do Brasil Ltda";03945240000157
388;"Frontier Drilling do Brasil Ltda";NULL
391;"Frontier Drilling do Brasil Ltda - Frontier";NULL
502;"Fugro Brasil Serv Sub lev LTDA  ZEN";NULL
503;"Fugro Brasil Serv Sub lev LTDA  ZEN - BASE ODYSSEY";NULL
440;"Fugro Brasil Serv.Sub e Levant. LTDA   BASE II";
439;"Fugro Brasil Serv.Sub e Levant. LTDA  BASE I";
450;"Fugro Brasil Serv.Sub e Levant. LTDA BaseInteq Die";NULL
12;"Fugro Geosolutions (Brasil) Serv. de Levant. Ltda";42140699000216
243;"Fugro Marsat Serv. Sub. Ltda- Ocean S Pag";NULL
343;"Fugro Marsat Serv. Sub. Ltda- Ocean S Pag - Navio";NULL
355;"Fugro Oceansatpeg S.A";03595293000357
351;"Fugro Oceansatpeg S/A - Base";
565;"GALAXIA MARITIMA LTDA";NULL
523;"GE OIL AND GAS DO BRASIL LTDA";05635291000299
512;"GEORADAR LEVANTAMENTOS GEOFÍSICOS SA";03.087.282/0001
13;"Georesearch  do Brasil Ltda";03722323000187
295;"Georesearch  do Brasil Ltda - Collinstide";03722323000187
58;"Gerdau Aços Longos S/A";NULL
519;"Gerdau Aços Longos S/A - (4ª Via Entregue)";NULL
365;"Halliburton Serv. Ltda";29504214002473
336;"Halliburton Serv. Ltda - Carregamento de Canhoes";29504214002473
423;"Halliburton Serv. Ltda - Paiois Explosivos";29504214002473
339;"Halliburton Serviços Ltda - Base Baroid";NULL
340;"Halliburton Servicos Ltda - Base Principal";NULL
461;"Halliburton Servicos Ltda - Base PWS";NULL
341;"Halliburton Servicos Ltda - Galpao de Quimica";NULL
342;"Halliburton Servicos Ltda - Paiois Explosivos";NULL
468;"Haztec Tecnologia e Planejamento Ambiental S.A";NULL
101;"Hidropartes Comercial Ltda";NULL
318;"Hotelaria Accor Brasil  S/A";NULL
563;"Indios Ind. e Com. Prod. Quim. Expl. Pirot. LTDA";000000000000000
131;"Inspetoria da Receita Federal - Unidade Macae";NULL
481;"IRM Serviços LTDA";07932094000186
350;"J F GARCIA DROGARIA - ME";NULL
14;"J.C. Fragoso Reparos - ME";NULL
424;"JOCEAN TRANSPORTES E SANEAMENTO LTDA";NULL
226;"Krest Internacional Ltda";73955544000342
50;"Lwart Lubrificantes Ltda";NULL
17;"M-I Swaco  Brasil-Com., Serv.e  Min. Ltda";15185358000456
493;"M-I Swaco Brasil-Com.Serv.e Min.Ltda - São Gonçalo";15185358000456
501;"M-I SWACO DO BRASIL - COM, SERV E MINERAÇÃO LTDA";15.185.358/0013
